Completed 103 games, 146 rewards, 31975 frames, score 0, max score 4
Completed 104 games, 148 rewards, 32381 frames, score 1, max score 4
Completed 105 games, 149 rewards, 32589 frames, score 0, max score 4
Completed 106 games, 150 rewards, 32797 frames, score 0, max score 4
Completed 107 games, 151 rewards, 33005 frames, score 0, max score 4
Completed 108 games, 152 rewards, 33186 frames, score 0, max score 4
Completed 109 games, 153 rewards, 33367 frames, score 0, max score 4
Completed 110 games, 154 rewards, 33575 frames, score 0, max score 4
Completed 111 games, 155 rewards, 33756 frames, score 0, max score 4
Completed 112 games, 156 rewards, 33964 frames, score 0, max score 4
Completed 113 games, 158 rewards, 34427 frames, score 1, max score 4
Completed 114 games, 159 rewards, 34635 frames, score 0, max score 4
Completed 115 games, 160 rewards, 34889 frames, score 0, max score 4
Completed 116 games, 161 rewards, 35143 frames, score 0, max score 4
Completed 117 games, 162 rewards, 35324 frames, score 0, max score 4
Completed 118 games, 164 rewards, 35784 frames, score 1, max score 4
Completed 119 games, 165 rewards, 35965 frames, score 0, max score 4
Completed 120 games, 166 rewards, 36146 frames, score 0, max score 4
Completed 121 games, 167 rewards, 36327 frames, score 0, max score 4
Completed 122 games, 168 rewards, 36581 frames, score 0, max score 4
Completed 123 games, 169 rewards, 36835 frames, score 0, max score 4
Completed 124 games, 170 rewards, 37016 frames, score 0, max score 4
Completed 125 games, 171 rewards, 37224 frames, score 0, max score 4
Completed 126 games, 173 rewards, 37607 frames, score 1, max score 4
Completed 127 games, 174 rewards, 37815 frames, score 0, max score 4
Completed 128 games, 175 rewards, 37996 frames, score 0, max score 4
Completed 129 games, 176 rewards, 38250 frames, score 0, max score 4
Completed 130 games, 177 rewards, 38431 frames, score 0, max score 4
Completed 131 games, 178 rewards, 38612 frames, score 0, max score 4
Completed 132 games, 179 rewards, 38820 frames, score 0, max score 4
Completed 133 games, 180 rewards, 39001 frames, score 0, max score 4
Completed 134 games, 181 rewards, 39209 frames, score 0, max score 4
Completed 135 games, 182 rewards, 39463 frames, score 0, max score 4
Completed 136 games, 184 rewards, 39868 frames, score 1, max score 4
Completed 137 games, 185 rewards, 40076 frames, score 0, max score 4
Completed 138 games, 187 rewards, 40504 frames, score 1, max score 4
Completed 139 games, 188 rewards, 40758 frames, score 0, max score 4
Completed 140 games, 189 rewards, 40966 frames, score 0, max score 4
Completed 141 games, 190 rewards, 41174 frames, score 0, max score 4
Completed 142 games, 192 rewards, 41725 frames, score 1, max score 4
Completed 143 games, 193 rewards, 41906 frames, score 0, max score 4
Completed 144 games, 194 rewards, 42160 frames, score 0, max score 4
Completed 145 games, 197 rewards, 42762 frames, score 2, max score 4
Completed 146 games, 198 rewards, 42943 frames, score 0, max score 4
Completed 147 games, 199 rewards, 43124 frames, score 0, max score 4
Completed 148 games, 200 rewards, 43332 frames, score 0, max score 4
Completed 149 games, 201 rewards, 43540 frames, score 0, max score 4
Completed 150 games, 205 rewards, 44344 frames, score 3, max score 4
Completed 151 games, 206 rewards, 44598 frames, score 0, max score 4
Completed 152 games, 207 rewards, 44852 frames, score 0, max score 4
Completed 153 games, 208 rewards, 45106 frames, score 0, max score 4
Completed 154 games, 209 rewards, 45314 frames, score 0, max score 4
